"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 18, 1999","1,175.15","1,177.15","1,189.20","1,172.20","48.31M","-0.10%"
"Jun 17, 1999","1,176.35","1,148.95","1,181.90","1,148.95","55.86M","2.46%"
"Jun 16, 1999","1,148.15","1,120.35","1,152.35","1,109.70","61.56M","2.47%"
"Jun 15, 1999","1,120.50","1,127.40","1,143.30","1,113.30","48.34M","-0.57%"
"Jun 14, 1999","1,126.90","1,140.75","1,140.75","1,099.85","37.23M","-1.31%"
"Jun 11, 1999","1,141.90","1,161.80","1,162.95","1,140.25","45.66M","-1.78%"
"Jun 10, 1999","1,162.60","1,163.70","1,175.95","1,159.60","46.94M","-0.05%"
"Jun 09, 1999","1,163.20","1,180.00","1,192.05","1,159.25","50.77M","-1.34%"
"Jun 08, 1999","1,178.95","1,145.90","1,178.95","1,138.05","49.67M","1.93%"
"Jun 07, 1999","1,156.65","1,159.55","1,164.15","1,150.20","39.20M","0.14%"
"Jun 04, 1999","1,155.05","1,150.05","1,162.00","1,149.10","55.68M","1.62%"
"Jun 03, 1999","1,136.65","1,129.90","1,141.05","1,127.30","48.74M","1.02%"
"Jun 02, 1999","1,125.15","1,120.65","1,127.65","1,107.20","37.66M","0.12%"
"Jun 01, 1999","1,123.80","1,125.55","1,139.80","1,113.00","52.30M","-0.75%"
"May 31, 1999","1,132.30","1,098.00","1,132.80","1,097.85","45.14M","4.70%"
"May 28, 1999","1,081.50","1,088.00","1,098.25","1,049.95","53.63M","-0.91%"
"May 27, 1999","1,091.45","1,132.85","1,147.95","1,091.45","43.74M","-3.88%"
"May 26, 1999","1,135.50","1,165.15","1,170.10","1,122.60","49.53M","-2.13%"
"May 25, 1999","1,160.20","1,148.05","1,164.20","1,147.40","50.70M","0.75%"
"May 24, 1999","1,151.60","1,147.40","1,154.50","1,132.50","39.33M","0.50%"
"May 21, 1999","1,145.85","1,176.95","1,177.00","1,139.10","51.67M","-1.80%"
"May 20, 1999","1,166.90","1,181.00","1,201.30","1,166.90","63.58M","-1.13%"
"May 19, 1999","1,180.25","1,169.60","1,189.20","1,161.60","76.33M","1.73%"
"May 18, 1999","1,160.15","1,155.75","1,176.30","1,153.45","59.04M","0.72%"
"May 17, 1999","1,151.90","1,164.45","1,171.10","1,120.70","71.28M","-1.15%"
"May 14, 1999","1,165.35","1,157.60","1,173.55","1,144.90","72.33M","1.50%"
"May 13, 1999","1,148.10","1,131.95","1,149.60","1,130.85","55.93M","3.35%"
"May 12, 1999","1,110.90","1,135.45","1,142.10","1,086.70","60.73M","-0.46%"
"May 11, 1999","1,116.00","1,102.20","1,121.95","1,100.50","45.79M","1.99%"
"May 10, 1999","1,094.20","1,070.75","1,094.20","1,070.35","39.31M","2.94%"
"May 07, 1999","1,062.90","1,065.40","1,080.70","1,059.05","44.52M","1.52%"
"May 06, 1999","1,046.95","1,024.95","1,048.05","1,023.95","38.42M","2.69%"
"May 05, 1999","1,019.55","1,014.65","1,034.55","1,004.90","41.62M","1.11%"
"May 04, 1999","1,008.35","971.90","1,008.35","971.80","27.44M","3.87%"
"May 03, 1999","970.75","979.80","986.40","968.25","23.77M","-0.76%"
"Apr 30, 1999","978.20","970.90","980.75","969.60","26.83M","1.20%"
"Apr 29, 1999","966.60","950.25","966.60","948.40","38.93M","2.45%"
"Apr 28, 1999","943.50","928.85","944.45","916.00","18.55M","1.30%"
"Apr 26, 1999","931.35","945.90","955.50","931.30","24.33M","-5.16%"
"Apr 23, 1999","982.00","987.05","994.30","968.15","21.27M","0.04%"
"Apr 22, 1999","981.65","999.55","1,012.00","971.90","20.92M","-1.51%"
"Apr 21, 1999","996.65","997.35","1,003.40","990.95","16.54M","0.13%"
"Apr 20, 1999","995.40","995.65","1,003.70","983.70","22.58M","0.15%"
"Apr 19, 1999","993.90","961.30","1,000.60","955.75","21.63M","2.79%"
"Apr 17, 1999","966.95","1,065.50","1,069.55","961.40","38.24M","-7.42%"
"Apr 16, 1999","1,044.45","970.95","1,044.85","965.15","23.36M","7.83%"
"Apr 15, 1999","968.60","968.40","980.65","964.35","13.79M","-2.58%"
"Apr 13, 1999","994.25","991.05","1,006.15","989.90","17.91M","-0.40%"
"Apr 12, 1999","998.20","984.55","999.65","972.70","13.24M","0.48%"
"Apr 09, 1999","993.40","1,021.55","1,022.15","989.75","17.73M","-2.64%"
"Apr 08, 1999","1,020.35","1,033.00","1,036.95","1,015.30","14.70M","-1.04%"
"Apr 07, 1999","1,031.05","1,027.35","1,043.40","1,027.00","23.96M","0.67%"
"Apr 06, 1999","1,024.20","999.80","1,025.95","993.00","24.93M","1.27%"
"Apr 05, 1999","1,011.40","1,030.65","1,036.45","1,008.35","19.41M","-4.89%"
"Apr 01, 1999","1,063.45","1,082.55","1,084.05","1,062.45","21.15M","-1.35%"
"Mar 31, 1999","1,078.05","1,076.95","1,090.40","1,073.65","29.69M","2.22%"
"Mar 30, 1999","1,054.60","1,036.00","1,054.65","1,028.45","35.05M","1.28%"
"Mar 26, 1999","1,041.25","1,054.95","1,057.80","1,033.00","22.54M","-1.29%"
"Mar 25, 1999","1,054.90","1,057.95","1,068.15","1,053.30","20.30M","-0.74%"
"Mar 24, 1999","1,062.80","1,091.15","1,091.90","1,047.05","32.96M","-0.95%"
"Mar 23, 1999","1,072.95","1,063.95","1,079.85","1,063.90","34.87M","0.94%"
"Mar 22, 1999","1,063.00","1,052.60","1,066.60","1,044.10","24.38M","0.25%"
"Mar 20, 1999","1,060.35","1,063.15","1,063.65","1,053.60","5.49M","-0.24%"
"Mar 19, 1999","1,062.90","1,080.70","1,083.15","1,056.40","34.87M","-1.09%"
"Mar 18, 1999","1,074.60","1,061.40","1,074.60","1,058.25","32.80M","1.32%"
"Mar 17, 1999","1,060.65","1,078.20","1,088.55","1,057.75","33.75M","0.71%"
"Mar 16, 1999","1,053.15","1,068.85","1,075.70","1,052.90","39.90M","-1.94%"
"Mar 15, 1999","1,073.95","1,073.15","1,082.50","1,063.45","34.70M","0.12%"
"Mar 12, 1999","1,072.65","1,066.85","1,074.15","1,057.10","35.76M","1.23%"
"Mar 11, 1999","1,059.60","1,080.15","1,085.40","1,059.60","39.36M","-1.78%"
"Mar 10, 1999","1,078.85","1,099.15","1,099.80","1,062.70","48.97M","0.05%"
"Mar 09, 1999","1,078.35","1,074.25","1,084.65","1,071.75","44.68M","0.58%"
"Mar 08, 1999","1,072.10","1,064.35","1,080.30","1,056.85","53.11M","1.67%"
"Mar 05, 1999","1,054.45","1,043.45","1,061.40","1,033.80","55.46M","1.27%"
"Mar 04, 1999","1,041.20","1,056.85","1,060.55","1,030.45","42.62M","-1.01%"
"Mar 03, 1999","1,051.85","1,066.40","1,073.05","1,051.80","57.52M","3.55%"
"Mar 01, 1999","1,015.80","992.45","1,018.40","984.45","47.63M","3.52%"
"Feb 27, 1999","981.30","947.35","981.55","932.20","59.55M","4.26%"
"Feb 26, 1999","941.20","955.40","955.75","938.20","32.20M","-1.37%"
"Feb 25, 1999","954.30","954.70","962.60","951.90","34.38M","-0.35%"
"Feb 24, 1999","957.65","959.80","961.40","947.95","36.95M","0.84%"
"Feb 23, 1999","949.65","949.30","952.65","938.65","37.79M","-0.44%"
"Feb 22, 1999","953.85","978.50","978.85","953.60","34.74M","-2.30%"
"Feb 19, 1999","976.30","979.40","985.40","975.85","40.21M","0.29%"
"Feb 18, 1999","973.45","974.15","989.15","968.70","40.52M","0.45%"
"Feb 17, 1999","969.05","970.10","978.75","953.10","37.83M","1.06%"
"Feb 16, 1999","958.90","952.55","960.25","951.50","29.40M","0.46%"
"Feb 15, 1999","954.55","974.10","976.85","954.55","31.55M","-1.62%"
"Feb 12, 1999","970.25","965.70","972.75","962.35","26.22M","1.06%"
"Feb 11, 1999","960.05","966.85","973.70","958.15","40.02M","0.06%"
"Feb 10, 1999","959.45","938.80","959.60","935.20","33.20M","3.75%"
"Feb 09, 1999","924.75","914.70","924.75","907.45","29.54M","0.90%"
"Feb 08, 1999","916.50","937.75","940.90","916.50","23.98M","-2.11%"
"Feb 05, 1999","936.30","939.65","943.70","930.10","23.48M","-0.36%"
"Feb 04, 1999","939.70","957.15","958.80","937.50","29.43M","-1.33%"
"Feb 03, 1999","952.40","948.00","955.55","940.75","27.34M","2.28%"
"Feb 02, 1999","931.20","940.10","945.15","924.95","30.68M","-0.95%"
"Feb 01, 1999","940.15","962.40","968.05","940.15","23.18M","-2.70%"
"Jan 29, 1999","966.20","956.80","966.35","952.70","24.05M","1.16%"
"Jan 28, 1999","955.10","971.20","976.75","954.25","27.41M","-1.67%"
"Jan 27, 1999","971.30","968.55","985.25","967.65","41.78M","2.26%"
"Jan 25, 1999","949.80","954.35","956.65","935.00","40.89M","-0.76%"
"Jan 22, 1999","957.05","976.60","980.45","955.15","40.61M","-1.05%"
"Jan 21, 1999","967.20","935.15","967.20","932.80","49.36M","4.66%"
"Jan 19, 1999","924.10","944.15","948.00","923.20","39.49M","-2.20%"
"Jan 18, 1999","944.90","938.65","945.05","922.80","34.51M","1.13%"
"Jan 15, 1999","934.30","961.70","967.85","932.25","40.47M","-2.14%"
"Jan 14, 1999","954.75","948.00","968.40","944.50","45.30M","-0.67%"
"Jan 13, 1999","961.20","980.30","986.25","958.05","47.24M","-0.34%"
"Jan 12, 1999","964.45","976.70","985.55","953.90","48.16M","-2.15%"
"Jan 11, 1999","985.60","1,005.15","1,016.30","985.60","68.20M","-0.45%"
"Jan 08, 1999","990.05","969.95","990.05","966.40","65.94M","3.70%"
"Jan 07, 1999","954.70","932.95","961.15","932.95","65.48M","2.85%"
"Jan 06, 1999","928.25","923.30","930.55","915.65","43.23M","2.32%"
"Jan 05, 1999","907.20","901.00","907.20","893.15","36.72M","1.05%"
"Jan 04, 1999","897.80","896.40","905.45","895.75","32.23M","0.79%"
"Jan 01, 1999","890.80","886.75","892.20","882.60","31.36M","0.74%"
"Dec 31, 1998","884.25","900.55","902.90","884.25","34.69M","-1.74%"
"Dec 30, 1998","899.95","887.40","903.85","887.00","45.23M","3.13%"
"Dec 29, 1998","872.65","876.90","881.25","867.80","32.69M","-0.82%"
"Dec 28, 1998","879.85","869.75","882.70","866.25","38.54M","2.18%"
"Dec 24, 1998","861.10","856.30","863.50","854.75","32.98M","0.28%"
