Date,Price,Open,High,Low,Vol.,Change %
11-Sep-08,4290.30,"4,397.25","4,399.30","4,272.75",116.72M,-2.50%
10-Sep-08,4400.25,"4,467.50","4,467.50","4,382.35",134.79M,-1.53%
9-Sep-08,4468.70,"4,485.15","4,497.50","4,418.95",95.55M,-0.30%
8-Sep-08,4482.30,"4,358.30","4,558.00","4,358.30",117.22M,2.99%
5-Sep-08,4352.30,"4,444.70","4,444.70","4,328.90",108.53M,-2.15%
4-Sep-08,4447.75,"4,512.95","4,514.60","4,419.45",114.63M,-1.25%
2-Sep-08,4504.00,"4,358.85","4,522.40","4,343.10",129.29M,3.57%
1-Sep-08,4348.65,"4,356.10","4,365.00","4,281.35",82.97M,-0.26%
29-Aug-08,4360.00,"4,230.60","4,368.80","4,230.60",111.46M,3.46%
28-Aug-08,4214.00,"4,290.75","4,304.50","4,201.85",160.48M,-1.82%
27-Aug-08,4292.10,"4,336.85","4,364.25","4,282.65",84.38M,-1.05%
26-Aug-08,4337.50,"4,335.20","4,345.05","4,283.30",86.26M,0.05%
25-Aug-08,4335.35,"4,317.95","4,398.80","4,317.95",79.24M,0.18%
